statedscr,entrsizedscr,firm,estb,empl_n,firm_share,estab_share,emp_share
United States,01:  Total,5996900,7860674,128591812,1,1,1
United States,02:  <5,3698086,3703759,5937081,0.616666277576748,0.471175754140167,0.046169976981116
United States,03:  5-9,1009851,1022121,6656073,0.168395504343911,0.13002968956606,0.051761250553029
United States,04:  10-19,631981,666636,8503293,0.105384615384615,0.0848064682494148,0.0661262398262185
United States,05:  <20,5339918,5392516,21096447,0.890446397305274,0.686011911955642,0.164057467360364
United States,06:  20-99,544485,738566,21348103,0.0907944104453968,0.0939570830694671,0.166014481544128
United States,07:  100-499,92358,381720,18111531,0.0154009571612,0.0485607213834335,0.140845134058769
United States,08:  <500,5976761,6512802,60556081,0.996641764911871,0.828529716408542,0.470917082963261
United States,09:  500+,20139,1347872,68035731,0.00335823508812887,0.171470283591458,0.52908291703674
